day;type;value_buy;value_sell
10/4/2024;Oficial;853.00;910.00
10/4/2024;Blue;970.00;1000.00
9/4/2024;Oficial;862.00;910.00
9/4/2024;Blue;970.00;1000.00
8/4/2024;Oficial;862.00;910.00
8/4/2024;Blue;955.00;985.00
5/4/2024;Oficial;905.00;907.00
5/4/2024;Blue;955.00;985.00
4/4/2024;Oficial;849.00;906.00
4/4/2024;Blue;970.00;1000.00
3/4/2024;Oficial;848.00;905.00
3/4/2024;Blue;975.00;1005.00
2/4/2024;Oficial;843.00;902.00
2/4/2024;Blue;980.00;1010.00
1/4/2024;Oficial;843.00;902.00
1/4/2024;Blue;980.00;1010.00
29/3/2024;Oficial;843.00;902.00
29/3/2024;Blue;980.00;1010.00
28/3/2024;Oficial;843.00;902.00
28/3/2024;Blue;980.00;1010.00
27/3/2024;Oficial;843.00;902.00
27/3/2024;Blue;980.00;1010.00
26/3/2024;Oficial;843.00;902.00
26/3/2024;Blue;985.00;1015.00
25/3/2024;Oficial;842.00;900.00
25/3/2024;Blue;990.00;1020.00
22/3/2024;Oficial;841.00;899.00
22/3/2024;Blue;990.00;1020.00
21/3/2024;Oficial;840.00;899.00
21/3/2024;Blue;1000.00;1030.00
20/3/2024;Oficial;840.00;898.00
20/3/2024;Blue;1000.00;1030.00
19/3/2024;Oficial;840.00;898.00
19/3/2024;Blue;1005.00;1035.00
18/3/2024;Oficial;838.00;897.00
18/3/2024;Blue;995.00;1025.00
15/3/2024;Oficial;837.00;896.00
15/3/2024;Blue;995.00;1025.00
14/3/2024;Oficial;837.00;895.00
14/3/2024;Blue;995.00;1025.00
13/3/2024;Oficial;836.00;895.00
13/3/2024;Blue;1005.00;1035.00
12/3/2024;Oficial;836.00;894.00
12/3/2024;Blue;990.00;1020.00
11/3/2024;Oficial;836.00;894.00
11/3/2024;Blue;960.00;990.00
8/3/2024;Oficial;832.00;892.00
8/3/2024;Blue;965.00;995.00
7/3/2024;Oficial;832.00;892.00
7/3/2024;Blue;955.00;985.00
6/3/2024;Oficial;832.00;892.00
6/3/2024;Blue;960.00;990.00
5/3/2024;Oficial;833.00;892.00
5/3/2024;Blue;980.00;1010.00
4/3/2024;Oficial;830.00;888.00
4/3/2024;Blue;985.00;1015.00
1/3/2024;Oficial;828.00;889.00
1/3/2024;Blue;1020.00;1050.00
29/2/2024;Oficial;828.00;889.00
29/2/2024;Blue;1000.00;1030.00
28/2/2024;Oficial;828.00;889.00
28/2/2024;Blue;1015.00;1045.00
27/2/2024;Oficial;827.00;885.00
27/2/2024;Blue;1045.00;1070.00
26/2/2024;Oficial;826.00;885.00
26/2/2024;Blue;1050.00;1080.00
23/2/2024;Oficial;825.00;884.00
23/2/2024;Blue;1055.00;1085.00
22/2/2024;Oficial;824.00;883.00
22/2/2024;Blue;1055.00;1085.00
21/2/2024;Oficial;824.00;883.00
21/2/2024;Blue;1085.00;1115.00
20/2/2024;Oficial;823.00;882.00
20/2/2024;Blue;1085.00;1115.00
19/2/2024;Oficial;831.00;882.00
19/2/2024;Blue;1070.00;1110.00
16/2/2024;Oficial;822.00;881.00
16/2/2024;Blue;1065.00;1095.00
15/2/2024;Oficial;822.00;881.00
15/2/2024;Blue;1045.00;1075.00
14/2/2024;Oficial;821.00;881.00
14/2/2024;Blue;1075.00;1105.00
13/2/2024;Oficial;820.00;879.00
13/2/2024;Blue;1115.00;1145.00
12/2/2024;Oficial;820.00;879.00
12/2/2024;Blue;1115.00;1145.00
9/2/2024;Oficial;820.00;879.00
9/2/2024;Blue;1115.00;1145.00
8/2/2024;Oficial;819.00;878.00
8/2/2024;Blue;1115.00;1145.00
7/2/2024;Oficial;819.00;878.00
7/2/2024;Blue;1140.00;1170.00
6/2/2024;Oficial;818.00;877.00
6/2/2024;Blue;1115.00;1145.00
5/2/2024;Oficial;819.00;885.00
5/2/2024;Blue;1130.00;1160.00
2/2/2024;Oficial;817.00;877.00
2/2/2024;Blue;1145.00;1175.00
1/2/2024;Oficial;816.00;873.00
1/2/2024;Blue;1165.00;1195.00
31/1/2024;Oficial;816.00;876.00
31/1/2024;Blue;1145.00;1195.00
30/1/2024;Oficial;816.00;876.00
30/1/2024;Blue;1165.00;1215.00
29/1/2024;Oficial;815.00;874.00
29/1/2024;Blue;1175.00;1225.00
26/1/2024;Oficial;813.00;872.00
26/1/2024;Blue;1170.00;1220.00
25/1/2024;Oficial;811.00;870.00
25/1/2024;Blue;1195.00;1245.00
24/1/2024;Oficial;811.00;871.00
24/1/2024;Blue;1205.00;1255.00
23/1/2024;Oficial;811.00;870.00
23/1/2024;Blue;1205.00;1255.00
22/1/2024;Oficial;808.00;869.00
22/1/2024;Blue;1185.00;1235.00
19/1/2024;Oficial;808.00;869.00
19/1/2024;Blue;1170.00;1220.00
18/1/2024;Oficial;807.00;867.00
18/1/2024;Blue;1190.00;1240.00
17/1/2024;Oficial;807.00;866.00
17/1/2024;Blue;1175.00;1225.00
16/1/2024;Oficial;805.00;865.00
16/1/2024;Blue;1130.00;1180.00
15/1/2024;Oficial;804.00;864.00
15/1/2024;Blue;1080.00;1130.00
12/1/2024;Oficial;801.00;861.00
12/1/2024;Blue;1070.00;1120.00
11/1/2024;Oficial;801.00;860.00
11/1/2024;Blue;1070.00;1120.00
10/1/2024;Oficial;800.00;859.00
10/1/2024;Blue;1100.00;1150.00
9/1/2024;Oficial;800.00;859.00
9/1/2024;Blue;1070.00;1120.00
8/1/2024;Oficial;798.00;858.00
8/1/2024;Blue;1000.00;1050.00
5/1/2024;Oficial;795.00;853.00
5/1/2024;Blue;975.00;1025.00
4/1/2024;Oficial;795.00;853.00
4/1/2024;Blue;970.00;1020.00
3/1/2024;Oficial;794.00;853.00
3/1/2024;Blue;955.00;1005.00
2/1/2024;Oficial;793.00;851.00
2/1/2024;Blue;955.00;1005.00
1/1/2024;Oficial;790.00;847.00
1/1/2024;Blue;975.00;1025.00
29/12/2023;Oficial;790.00;847.00
29/12/2023;Blue;975.00;1025.00
28/12/2023;Oficial;789.00;845.00
28/12/2023;Blue;950.00;1000.00
27/12/2023;Oficial;788.00;844.00
27/12/2023;Blue;950.00;1000.00
26/12/2023;Oficial;787.00;844.00
26/12/2023;Blue;945.00;995.00
25/12/2023;Oficial;786.00;844.00
25/12/2023;Blue;945.00;995.00
22/12/2023;Oficial;786.00;844.00
22/12/2023;Blue;945.00;995.00
21/12/2023;Oficial;786.00;843.00
21/12/2023;Blue;940.00;990.00
